motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	motif.name	p.adjust	cluster
MA0655.1	176	1662	53.6585365853659	16.62	3.22855214111708	3.06603978462884e-55	JDP2	9.94463338840485e-54	C2
MA1633.1	222	2705	67.6829268292683	27.05	2.50214147243136	5.98741990893468e-55	BACH1	1.86108968836053e-53	C2
MA1101.2	176	1672	53.6585365853659	16.72	3.20924261874198	7.79283568029787e-55	BACH2	2.32538216700089e-53	C2
MA0089.2	152	2123	46.3414634146341	21.23	2.18282917638409	5.02688661785011e-25	NFE2L1	1.44232977573699e-23	C2
MA0591.1	156	2445	47.5609756097561	24.45	1.94523417626814	2.12627179560318e-20	Bach1::Mafk	5.87481022044433e-19	C2
MA0496.3	205	3818	62.5	38.18	1.63698271346255	1.1834697683675e-19	MAFK	3.15310159715055e-18	C2
MA0501.1	134	2143	40.8536585365854	21.43	1.90637697324243	5.00101118852794e-16	MAF::NFE2	1.28646701608339e-14	C2
MA0150.2	133	2279	40.5487804878049	22.79	1.77923565106647	2.04767180199898e-13	Nfe2l2	5.09187721430414e-12	C2
MA0002.2	138	2769	42.0731707317073	27.69	1.51943556271966	8.73927326421476e-09	RUNX1	2.10306382422716e-07	C2
MA0102.4	87	1513	26.5243902439024	15.13	1.75309915690036	4.12099925764459e-08	CEBPA	9.60707951938394e-07	C2
MA0836.2	78	1360	23.780487804878	13.6	1.74856527977044	2.98037528236717e-07	CEBPD	6.73745442619973e-06	C2
MA1108.2	84	1611	25.609756097561	16.11	1.58968070127629	5.04963920541159e-06	MXI1	0.000110795024918737	C2
MA0783.1	84	1650	25.609756097561	16.5	1.55210643015521	1.29525639609057e-05	PKNOX2	0.000276074648995305	C2
MA1618.1	87	1746	26.5243902439024	17.46	1.51915178945604	1.98944804483536e-05	Ptf1a	0.000412257844846438	C2
MA1110.1	65	1209	19.8170731707317	12.09	1.63912929451875	3.14357458986018e-05	NR1H4	0.000633812606496134	C2
MA1126.1	59	1086	17.9878048780488	10.86	1.65633562412972	5.86324708093479e-05	FOS::JUN(var.2)	0.00115104797957299	C2
MA0078.1	60	1115	18.2926829268293	11.15	1.64059936563491	6.60499759599915e-05	Sox17	0.00126341748887573	C2
MA1636.1	75	1499	22.8658536585366	14.99	1.52540718202379	7.92784322214561e-05	CEBPG(var.2)	0.00147854276093016	C2
MA0018.4	83	1733	25.3048780487805	17.33	1.46017761389385	0.000137515215927921	CREB1	0.00250210612395681	C2
MA1632.1	86	1828	26.219512195122	18.28	1.43432780060842	0.000186933225020044	ATF2	0.00332029013964173	C2
MA0488.1	85	1806	25.9146341463415	18.06	1.43491883423818	0.000203889552011098	JUN	0.00353724664651812	C2
MA1123.2	86	1878	26.219512195122	18.78	1.39614015948466	0.000468537992077398	TWIST1	0.00794384868385771	C2
MA0833.2	65	1365	19.8170731707317	13.65	1.45180023228804	0.00103121046671446	ATF4	0.0170951779593108	C2
MA0842.2	62	1342	18.9024390243902	13.42	1.40852749809167	0.00285558339736689	NRL	0.0463101133572979	C2
MA0107.1	331	2608	78.436018957346	26.08	3.00751606431541	1.90572771700959e-117	RELA	1.42167287688915e-114	C3
MA0101.1	307	2382	72.7488151658768	23.82	3.05410643013756	5.62761898646299e-105	REL	2.09910188195069e-102	C3
MA0778.1	167	2369	39.5734597156398	23.69	1.67047107284254	8.6182280289827e-14	NFKB2	2.14306603654036e-11	C3
MA1622.1	163	2482	38.6255924170616	24.82	1.55622854218621	1.03075904910595e-10	Smad2::Smad3	1.9223656265826e-08	C3
MA0478.1	149	2266	35.3080568720379	22.66	1.55816667572983	1.08212596993124e-09	FOSL2	1.41557600931465e-07	C3
MA0462.2	154	2370	36.4928909952607	23.7	1.53978443017977	1.13853298336299e-09	BATF::JUN	1.41557600931465e-07	C3
MA0476.1	149	2279	35.3080568720379	22.79	1.54927849372698	1.65016535566222e-09	FOS	1.75860479332002e-07	C3
MA0489.1	151	2361	35.781990521327	23.61	1.51554385943782	5.96016151608955e-09	JUN(var.2)	5.55785061375351e-07	C3
MA1634.1	150	2352	35.5450236966825	23.52	1.51126801431473	8.50507392647808e-09	BATF	7.04976127683627e-07	C3
MA1137.1	128	1919	30.3317535545024	19.19	1.58060206120388	1.3296862947933e-08	FOSL1::JUNB	9.91945975915801e-07	C3
MA0835.2	146	2299	34.5971563981043	22.99	1.50487848621593	2.07393281068176e-08	BATF3	1.36893243998376e-06	C3
MA1135.1	122	1815	28.9099526066351	18.15	1.59283485436006	2.20203609648862e-08	FOSB::JUNB	1.36893243998376e-06	C3
MA0477.2	133	2081	31.5165876777251	20.81	1.51449244006368	8.87053696052821e-08	FOSL1	5.09032351734927e-06	C3
MA0491.2	111	1652	26.303317535545	16.52	1.59221050457294	1.29770307300402e-07	JUND	6.91490351757858e-06	C3
MA1117.1	116	1782	27.4881516587678	17.82	1.54254498646284	3.38824055830787e-07	RELB	1.68508497099845e-05	C3
MA0099.3	129	2059	30.5687203791469	20.59	1.48463916363025	4.96610142019272e-07	FOS::JUN	2.31544478716486e-05	C3
MA0490.2	110	1682	26.0663507109005	16.82	1.5497235856659	6.17668221941702e-07	JUNB	2.71047349157947e-05	C3
MA1130.1	127	2037	30.0947867298578	20.37	1.47740730141668	8.42415220721379e-07	FOSL2::JUN	3.23248900796746e-05	C3
MA1138.1	114	1773	27.0142180094787	17.73	1.52364455778222	8.5406692412107e-07	FOSL2::JUNB	3.23248900796746e-05	C3
MA0105.4	141	2329	33.4123222748815	23.29	1.43462096500135	8.66619036988595e-07	NFKB1	3.23248900796746e-05	C3
MA1134.1	117	1838	27.7251184834123	18.38	1.50843952575693	9.70717669754375e-07	FOS::JUNB	3.44835896017507e-05	C3
MA1141.1	137	2254	32.4644549763033	22.54	1.44030412494691	1.08936221974245e-06	FOS::JUND	3.69392825421758e-05	C3
MA1144.1	115	1824	27.2511848341232	18.24	1.49403425625676	2.04966858072734e-06	FOSL2::JUND	6.6480554835765e-05	C3
MA1101.2	102	1569	24.1706161137441	15.69	1.54051090591103	2.45549306127874e-06	BACH2	7.63249093214141e-05	C3
MA0841.1	106	1661	25.1184834123223	16.61	1.51225065697304	3.47466897632612e-06	NFE2	0.000103684122253571	C3
MA1142.1	118	1927	27.9620853080569	19.27	1.45106825677514	6.22792253422527e-06	FOSL1::JUND	0.000178693469635848	C3
MA1128.1	129	2178	30.5687203791469	21.78	1.40352251511235	1.0698300272195e-05	FOSL1::JUN	0.000295590074187313	C3
MA0655.1	98	1566	23.2227488151659	15.66	1.48293415167087	2.12636391547059e-05	JDP2	0.000566524100336093	C3
MA0154.4	197	3858	46.6824644549763	38.58	1.21001722278321	0.000322863854362767	EBF1	0.00830539432257324	C3
MA1132.1	100	1736	23.696682464455	17.36	1.36501627099395	0.000443082633979385	JUN::JUNB	0.011017988164954	C3
