p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
9.40359141484143e-276	0.163622749483144	0.887	0.774	1.84376216870796e-271	pLOF	FAT1
1.20877322739215e-271	0.166488424739565	0.896	0.803	2.37004166694779e-267	pLOF	COL4A2
6.0968685542904e-269	0.124068456425847	0.937	0.867	1.19541301743972e-264	pLOF	DIAPH1
7.19321450484313e-264	0.125687811813019	0.956	0.915	1.41037356796459e-259	pLOF	FBXO16
5.48202626743809e-259	0.0822230586988734	0.99	0.971	1.07486089025659e-254	pLOF	ERGIC1
2.45022433884655e-256	0.115748610165021	0.951	0.911	4.80415486117644e-252	pLOF	WWC1
2.86428527938543e-256	0.173456772380058	0.672	0.514	5.61600414729102e-252	pLOF	NEURL1B
6.3446164476411e-252	0.195699044700802	0.788	0.636	1.24398894688899e-247	pLOF	GPX3
3.39602197621444e-250	0.180077004811477	0.792	0.601	6.65858028876366e-246	pLOF	CCNJL
7.944175936274e-249	0.172671960027813	0.863	0.703	1.55761457582524e-244	pLOF	DPP9
8.0244746882528e-245	0.230107704656547	0.695	0.498	1.57335875212573e-240	pLOF	KLHL25
4.56189773836189e-242	0.16613248594469	0.838	0.691	8.94451289560616e-238	pLOF	PLEKHA2
9.54623050294195e-242	0.329565077835122	0.36	0.154	1.87172941471183e-237	pLOF	VNN1
1.16456333409857e-241	0.275484135613405	0.576	0.304	2.28335932916706e-237	pLOF	EHF
1.62657960971142e-241	0.177041572308845	0.865	0.719	3.18923464076118e-237	pLOF	PAX2
3.08584740755672e-239	0.2056608680086	0.756	0.584	6.05042101199645e-235	pLOF	NDST1
4.22360881227873e-239	0.100709618414973	0.977	0.95	8.28122979823491e-235	pLOF	CMIP
4.56172843820019e-237	0.226028265808052	0.683	0.47	8.94418094877912e-233	pLOF	ELAVL1
5.43345598673268e-237	0.282898570842401	0.4	0.213	1.06533771531868e-232	pLOF	FAM167A
3.76904789647461e-236	0.247958147294567	0.604	0.371	7.38997221061777e-232	pLOF	CA2
1.28908681386558e-235	0.131084921497174	0.885	0.799	2.52751251594625e-231	pLOF	DLG5
