Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Direction
UV_RESPONSE_DN	17/312	86/2390	0.0483279335331538	0.224065873653713	0.184987305390062	VAV2/RXRA/MET/ABCC1/SLC7A1/VLDLR/RBPMS/ID1/PRKCA/KCNMA1/MGLL/SYNE1/INPP4B/CDKN1B/PEX14/PTPRM/ANXA4	17	KO
XENOBIOTIC_METABOLISM	17/312	87/2390	0.053174474750062	0.225991517687763	0.186577104386182	NQO1/LONP1/ECH1/CA2/ACO2/FAH/AKR1C3/CBR1/LPIN2/GSS/BLVRB/DHRS7/MTHFD1/PTGR1/GSR/NPC1/ADH5	17	KO
GLYCOLYSIS	24/312	136/2390	0.0699953159680869	0.274597008797879	0.226705476819715	SLC25A10/MET/HAX1/VLDLR/MDH1/GPC1/PKP2/EXT1/TPBG/GAL3ST1/FKBP4/GNE/PYGB/ALDOA/IRS2/ALG1/ENO2/AURKA/HMMR/TPI1/EGFR/PMM2/G6PD/AGRN	24	KO
COMPLEMENT	16/312	88/2390	0.101263460087687	0.363530627059774	0.300128484672672	CTSD/LGALS3/SRC/ATOX1/STX4/CLU/CA2/PLSCR1/TIMP2/LAP3/LAMP2/CTSL/AKAP10/S100A13/ADAM9/LYN	16	KO
APOPTOSIS	16/312	90/2390	0.118048347256941	0.363530627059774	0.300128484672672	SQSTM1/GPX4/LGALS3/CCND1/EREG/LMNA/GPX1/ROCK1/CLU/RHOB/BCL2L1/TIMP2/TNFRSF12A/CDKN1B/GSR/ENO2	16	KO
CHOLESTEROL_HOMEOSTASIS	10/312	51/2390	0.118951983909492	0.363530627059774	0.300128484672672	SQLE/LGALS3/CPEB2/ECH1/CLU/ATXN2/PLSCR1/TNFRSF12A/ALDOC/GNAI1	10	KO
ANGIOGENESIS	4/312	15/2390	0.121176875686591	0.363530627059774	0.300128484672672	VAV2/SPP1/LRPAP1/FGFR1	4	KO
MYOGENESIS	14/312	81/2390	0.162270466433067	0.459766321560358	0.379580038439924	NQO1/SH2B1/NOTCH1/PFKM/CLU/DTNA/CSRP3/FGF2/EIF4A2/ANKRD2/GAA/SYNGR2/FHL1/AGRN	14	KO
BILE_ACID_METABOLISM	9/312	49/2390	0.180625132110778	0.484835880928932	0.400277301076517	RXRA/IDH2/ABCD1/PFKM/AMACR/GNPAT/NPC1/HSD17B11/PHYH	9	KO
KRAS_SIGNALING_DN	5/312	25/2390	0.219962936114544	0.531375061639401	0.438699741291559	GPRC5C/IFI44L/SYNPO/KMT2D/AKR1B10	5	KO
OXIDATIVE_PHOSPHORYLATION	26/312	171/2390	0.223794025051335	0.531375061639401	0.438699741291559	GPX4/UQCRH/ETFA/IDH2/ETFB/OGDH/TIMM9/NDUFA6/ECH1/TIMM10/MDH1/CYC1/SUCLA2/MTRF1/ACO2/HADHB/VDAC3/DECR1/ECI1/DLST/ATP1B1/ATP6V1C1/SDHB/HCCS/ECHS1/PHYH	26	KO
WNT_BETA_CATENIN_SIGNALING	4/312	19/2390	0.229220614824839	0.531375061639401	0.438699741291559	NOTCH1/WNT5B/GNAI1/NUMB	4	KO
NOTCH_SIGNALING	3/312	14/2390	0.27269178615756	0.598252670754015	0.493913453666886	NOTCH1/CCND1/PRKCA	3	KO
ESTROGEN_RESPONSE_EARLY	13/312	83/2390	0.281530668590125	0.598252670754015	0.493913453666886	FARP1/CCND1/MLPH/WFS1/TPBG/FKBP4/BLVRB/SFN/PDZK1/MYOF/KAZN/SLC7A5/SCARB1	13	KO
INFLAMMATORY_RESPONSE	9/312	56/2390	0.303793262183488	0.619738254854315	0.511651809993243	MET/EREG/SLC7A1/SLC4A4/NMI/EIF2AK2/TPBG/BST2/LYN	9	KO
P53_PATHWAY	14/312	97/2390	0.38591794246127	0.746172233119466	0.616034867384492	ERCC5/CTSD/RXRA/NOTCH1/HEXIM1/HINT1/NDRG1/EI24/STOM/S100A10/SFN/MAPKAPK3/SLC3A2/HSPA4L	14	KO
HEME_METABOLISM	15/312	105/2390	0.395032358710305	0.746172233119466	0.616034867384492	CLCN3/ARHGEF12/MOSPD1/RAD23A/BSG/LRP10/CA2/LPIN2/BLVRB/BCAM/DCUN1D1/DMTN/LAMP2/SDCBP/BMP2K	15	KO
PEROXISOME	10/312	70/2390	0.431890988956396	0.765641342402946	0.632108435420389	IDH2/ABCD1/ECH1/GNPAT/EHHADH/CTBP1/MVP/PEX14/HMGCL/HSD17B11	10	KO
IL6_JAK_STAT3_SIGNALING	5/312	33/2390	0.435364684895793	0.765641342402946	0.632108435420389	HAX1/TNFRSF12A/STAT1/PTPN1/IRF9	5	KO
UV_RESPONSE_UP	12/312	94/2390	0.581822819604885	0.985810840241925	0.813878918672384	SQSTM1/CYB5B/BSG/CA2/RHOB/FKBP4/SULT1A1/ATP6V1C1/ALDOA/ENO2/LYN/HSPA2	12	KO
ALLOGRAFT_REJECTION	8/312	64/2390	0.610446923342648	0.985810840241925	0.813878918672384	EREG/GLMN/STAT1/TAP2/B2M/CAPG/LYN/EGFR	8	KO
COAGULATION	6/312	49/2390	0.632503261221974	0.985810840241925	0.813878918672384	CLU/CRIP2/LAMP2/S100A13/ADAM9/RAPGEF3	6	KO
SPERMATOGENESIS	6/312	50/2390	0.65272432964167	0.985810840241925	0.813878918672384	VDAC3/STRBP/AURKA/HSPA4L/MLLT10/HSPA2	6	KO
EPITHELIAL_MESENCHYMAL_TRANSITION	12/312	99/2390	0.65720722682795	0.985810840241925	0.813878918672384	LAMA3/SERPINE2/GPC1/NTM/SERPINH1/RHOB/FGF2/TNFRSF12A/SNTB1/ENO2/SPP1/CAPG	12	KO
ANDROGEN_RESPONSE	7/312	62/2390	0.718713169419097	0.999999999705609	0.825593395009791	CCND1/NDRG1/INPP4B/ALDH1A3/GSR/B2M/ABCC4	7	KO
KRAS_SIGNALING_UP	7/312	62/2390	0.718713169419097	0.999999999705609	0.825593395009791	EREG/TOR1AIP2/CA2/HKDC1/ALDH1A3/GNG11/SPP1	7	KO
PANCREAS_BETA_CELLS	1/312	12/2390	0.814149051734673	0.999999999705609	0.825593395009791	SYT13	1	KO
TNFA_SIGNALING_VIA_NFKB	8/312	78/2390	0.818930343259562	0.999999999705609	0.825593395009791	SQSTM1/CCND1/TNFAIP2/RHOB/IRS2/NFKBIE/PHLDA1/IFIH1	8	KO
APICAL_JUNCTION	10/312	97/2390	0.834639894893468	0.999999999705609	0.825593395009791	LAMA3/VAV2/SRC/TSC1/STX4/TAOK2/HADH/ADAM9/GNAI1/EGFR	10	KO
DNA_REPAIR	13/312	125/2390	0.852079569035202	0.999999999705609	0.825593395009791	ERCC5/GPX4/ARL6IP1/DGUOK/GMPR2/PNP/BCAM/NT5C3A/RRM2B/ADCY6/SDCBP/NUDT9/STX3	13	KO
PI3K_AKT_MTOR_SIGNALING	7/312	75/2390	0.87771903207117	0.999999999705609	0.825593395009791	SQSTM1/ATF1/PRKAG1/MAPK9/SFN/CDKN1B/EGFR	7	KO
MTORC1_SIGNALING	16/312	155/2390	0.880832825603878	0.999999999705609	0.825593395009791	SQSTM1/SQLE/M6PR/CYB5B/VLDLR/GGA2/SERPINH1/PNP/ALDOA/GSR/SLC7A5/GBE1/AURKA/TPI1/USO1/G6PD	16	KO
MITOTIC_SPINDLE	18/312	175/2390	0.896548288450232	0.999999999705609	0.825593395009791	FARP1/TSC1/ARHGEF12/RABGAP1/CENPF/KNTC1/NUSAP1/PRC1/ROCK1/FGD4/ECT2/SYNPO/ALS2/CEP250/ARHGAP27/KIF22/TAOK2/AURKA	18	KO
APICAL_SURFACE	1/312	17/2390	0.90806498749386	0.999999999705609	0.825593395009791	LYN	1	KO
HEDGEHOG_SIGNALING	1/312	17/2390	0.90806498749386	0.999999999705609	0.825593395009791	VLDLR	1	KO
G2M_CHECKPOINT	17/312	175/2390	0.934954368987559	0.999999999705609	0.825593395009791	SQLE/CCND1/CENPF/NUSAP1/SLC7A1/PRC1/TNPO2/TMPO/KIF22/CDKN1B/TROAP/SLC7A5/AURKA/HMMR/RPS6KA5/CCNT1/HMGN2	17	KO
TGF_BETA_SIGNALING	2/312	34/2390	0.948659673306764	0.999999999705609	0.825593395009791	ID1/CDK9	2	KO
UNFOLDED_PROTEIN_RESPONSE	5/312	88/2390	0.993308026574046	0.999999999705609	0.825593395009791	WFS1/EIF4A2/ATP6V0D1/IFIT1/SLC7A5	5	KO
MYC_TARGETS_V2	1/312	52/2390	0.999363012023372	0.999999999705609	0.825593395009791	TBRG4	1	KO
E2F_TARGETS	11/312	186/2390	0.999679434909618	0.999999999705609	0.825593395009791	CBX5/SHMT1/TBRG4/DCK/TMPO/UBR7/KIF22/CDKN1B/AURKA/HMMR/KIF18B	11	KO
MYC_TARGETS_V1	3/312	193/2390	0.999999999705609	0.999999999705609	0.825593395009791	CYC1/VDAC3/APEX1	3	KO
EPITHELIAL_MESENCHYMAL_TRANSITION	31/243	99/2390	2.40945516420741e-09	1.22882213374578e-07	1.09059549537809e-07	MMP14/TPM1/NNMT/PLOD1/MATN2/DAB2/PLOD2/FSTL1/TPM4/GLIPR1/CDH6/CD59/ANPEP/CAP2/DST/FN1/COL12A1/TGFBI/MYL9/SERPINE1/COL4A1/LAMC2/THBS1/JUN/COL7A1/LAMC1/TGFB1/CALD1/CTHRC1/FLNA/COL6A3	31	WT
APICAL_JUNCTION	27/243	97/2390	4.39718640521681e-07	1.12128253333029e-05	9.95152712759594e-06	CAP1/LIMA1/PFN1/GAMT/ZYX/MYH9/NEXN/CDH6/B4GALT1/RAC2/HRAS/VASP/CD99/CNN2/ACTC1/AKT3/ICAM1/VCL/TGFBI/GNAI2/MYL9/LAMC2/TRAF1/MSN/SYK/MYH10/LAMB3	27	WT
OXIDATIVE_PHOSPHORYLATION	33/243	171/2390	0.000132243873752433	0.00224814585379135	0.00199525844608933	NDUFB1/COX6C/OAT/COX6B1/ACADVL/COX7A2L/UQCRQ/NDUFV2/MTRR/UQCRC2/NDUFB3/NDUFB4/NDUFA7/UQCRC1/NDUFA4/NDUFB8/PDHA1/COX7C/NDUFA8/NDUFS1/COX7A2/PDP1/NDUFB5/NDUFB7/UQCRFS1/NDUFS6/NDUFA2/UQCRB/IDH1/ACADSB/NDUFV1/COX5B/DLD	33	WT
ESTROGEN_RESPONSE_EARLY	16/243	83/2390	0.00781360880044414	0.0799743848716421	0.0709782982348939	B4GALT1/PAPSS2/DHCR7/KRT8/FLNB/MYBBP1A/ENDOD1/FASN/IL6ST/FKBP5/KRT19/ARL3/FHL2/SH3BP5/PODXL/ABLIM1	16	WT
KRAS_SIGNALING_UP	13/243	62/2390	0.00784062596780805	0.0799743848716421	0.0709782982348939	YRDC/GLRX/ZNF277/ABCB1/PLEK2/LCP1/PDCD1LG2/AKAP12/SATB1/TRAF1/PLAU/FBXO4/EPHB2	13	WT
KRAS_SIGNALING_DN	6/243	25/2390	0.0350529239938059	0.284025424627914	0.25207622825594	GAMT/COPZ2/ACTC1/NUDT11/TENM2/TGFB2	6	WT
ESTROGEN_RESPONSE_LATE	14/243	84/2390	0.0407391397391997	0.284025424627914	0.25207622825594	COX6C/TST/PAPSS2/DHCR7/HOMER2/JAK1/ATP2B4/FLNB/IL6ST/FKBP5/KRT19/ARL3/LAMC2/RABEP1	14	WT
ANDROGEN_RESPONSE	11/243	62/2390	0.0445530077847708	0.284025424627914	0.25207622825594	UBE2J1/B4GALT1/UAP1/HOMER2/KRT8/FKBP5/KRT19/HMGCS1/AKAP12/CDK6/GPD1L	11	WT
XENOBIOTIC_METABOLISM	14/243	87/2390	0.0526973423461821	0.286207402706798	0.254012761948241	BCAT1/ENPEP/PMM1/CAT/PAPSS2/BPHL/HMOX1/PC/HACL1/SERPINE1/GSTM4/TGFB2/PYCR1/IDH1	14	WT
COMPLEMENT	14/243	88/2390	0.0571728583398826	0.286207402706798	0.254012761948241	DOCK9/MMP14/PFN1/CD59/CD55/FN1/DOCK10/GNAI2/GCA/SERPINE1/GPD2/PDP1/CPQ/CSRP1	14	WT
MYOGENESIS	13/243	81/2390	0.0617310084269563	0.286207402706798	0.254012761948241	MYH9/ACTC1/CRYAB/CNN3/SMTN/PC/SPHK1/IGFBP7/MYO1C/TGFB1/ABLIM1/GABARAPL2/COL6A3	13	WT
TNFA_SIGNALING_VIA_NFKB	12/243	78/2390	0.0917880338022111	0.390099143659397	0.34621802223641	YRDC/B4GALT1/SOD2/ICAM1/IL6ST/SPHK1/SERPINE1/JUN/TRAF1/NFKB2/PLAU/LAMB3	12	WT
UV_RESPONSE_DN	12/243	86/2390	0.157603429105288	0.618290375720744	0.5487406843342	DAB2/SRI/AMPH/CAP2/ATP2B4/AKT3/MAP1B/SERPINE1/FHL2/LAMC1/DDAH1/NEK7	12	WT
ADIPOGENESIS	17/243	137/2390	0.222475322800932	0.727864771390444	0.645989373989455	HIBCH/RTN3/TST/CAT/UQCRQ/YWHAG/CAVIN1/DHCR7/TALDO1/UQCRC1/COL4A1/GPD2/NDUFB7/ACADS/IDH1/NKIRAS1/DLD	17	WT
COAGULATION	7/243	49/2390	0.225133039911524	0.727864771390444	0.645989373989455	MMP14/FN1/SERPINE1/THBS1/PLAU/CPQ/CSRP1	7	WT
HEDGEHOG_SIGNALING	3/243	17/2390	0.245671824576673	0.727864771390444	0.645989373989455	MYH9/DPYSL2/CDK6	3	WT
HYPOXIA	13/243	104/2390	0.253732291869475	0.727864771390444	0.645989373989455	MYH9/NEDD4L/GLRX/PDK3/CAVIN1/TPST2/HMOX1/TGFBI/P4HA2/SERPINE1/AKAP12/TES/JUN	13	WT
CHOLESTEROL_HOMEOSTASIS	7/243	51/2390	0.256893448726039	0.727864771390444	0.645989373989455	PCYT2/GPX8/LSS/PDK3/DHCR7/FASN/HMGCS1	7	WT
IL2_STAT5_SIGNALING	10/243	82/2390	0.31936362211235	0.823414242448486	0.730790762131783	CTSZ/ABCB1/CDCP1/MAPKAPK2/ITGA6/GLIPR2/SWAP70/MYO1C/TRAF1/SERPINB6	10	WT
ALLOGRAFT_REJECTION	8/243	64/2390	0.32290754605823	0.823414242448486	0.730790762131783	BCL10/EIF5A/BCAT1/ICAM1/RPS19/TGFB2/TGFB1/FLNA	8	WT
REACTIVE_OXYGEN_SPECIES_PATHWAY	5/243	40/2390	0.384711032230063	0.934298221130153	0.829201723603645	PDLIM1/GLRX/CAT/SOD2/NDUFB4	5	WT
GLYCOLYSIS	15/243	136/2390	0.409255999936064	0.948729818033602	0.842009952021566	PLOD1/PLOD2/GLRX/B4GALT1/PDK3/CTH/TALDO1/PC/TGFBI/P4HA2/ME2/LHPP/ECD/IDH1/DLD	15	WT
IL6_JAK_STAT3_SIGNALING	4/243	33/2390	0.436342077143978	0.967541127580125	0.858705231908058	HMOX1/IL6ST/JUN/TGFB1	4	WT
UV_RESPONSE_UP	10/243	94/2390	0.490719546739385	0.999942712973719	0.887462056921979	ASNS/MMP14/TST/GLS/ABCB1/SOD2/ICAM1/HMOX1/IL6ST/AMD1	10	WT
INFLAMMATORY_RESPONSE	6/243	56/2390	0.51146065462019	0.999942712973719	0.887462056921979	MMP14/SRI/CD55/ICAM1/SPHK1/SERPINE1	6	WT
P53_PATHWAY	10/243	97/2390	0.532739456959558	0.999942712973719	0.887462056921979	RPL18/PMM1/RRP8/HRAS/FDXR/HMOX1/SPHK1/PROCR/JUN/TGFB1	10	WT
FATTY_ACID_METABOLISM	11/243	108/2390	0.546720745518289	0.999942712973719	0.887462056921979	HIBCH/ACADVL/BPHL/FASN/HMGCS1/PDHA1/GPD2/ACSL4/ACADS/IDH1/DLD	11	WT
APOPTOSIS	9/243	90/2390	0.574828651531886	0.999942712973719	0.887462056921979	BCL10/SOD2/CTH/FDXR/HMOX1/JUN/SATB1/TGFB2/PAK1	9	WT
PEROXISOME	7/243	70/2390	0.578764196952568	0.999942712973719	0.887462056921979	BCL10/CAT/HRAS/ABCB1/SOD2/ACSL4/IDH1	7	WT
PI3K_AKT_MTOR_SIGNALING	7/243	75/2390	0.653875421746038	0.999942712973719	0.887462056921979	PFN1/ACACA/CAMK4/HRAS/MAPK8/PPP2R1B/CFL1	7	WT
TGF_BETA_SIGNALING	3/243	34/2390	0.687719510442975	0.999942712973719	0.887462056921979	SERPINE1/THBS1/TGFB1	3	WT
