Gene	ccRCC tumor state	Cliffs Delta	p-value	q-value
BAP1	C1	0.142857142857143	0.562301181473732	0.636528232886684
BAP1	C2	0.577639751552795	0.0126930511574052	0.0761583069444311
BAP1	C3	0.770186335403727	0.000446221783034308	0.0053546613964117
SETD2	C1	-0.120987654320988	0.58348421347946	0.636528232886684
SETD2	C2	0.323456790123457	0.133106719861287	0.532426879445148
SETD2	C3	0.288888888888889	0.181380047605159	0.544140142815476
PBRM1	C1	-0.148717948717949	0.410386184667138	0.636528232886684
PBRM1	C2	-0.128205128205128	0.479017664882081	0.636528232886684
PBRM1	C3	0.0324786324786325	0.863525659308814	0.863525659308814
KDM5C	C1	0.148936170212766	0.518624229390045	0.636528232886684
KDM5C	C2	0.26063829787234	0.252229556114129	0.605350934673909
KDM5C	C3	0.175531914893617	0.445081838866523	0.636528232886684
