Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
MSigDB Pathway	BIOCARTA_NKCELLS_PATHWAY	Ras-Independent pathway in NK cell-mediated cytotoxicity	42	8.032572e-08	0.00010603	2.524523e-06	3.73931	6.418297	24	0.00198832	0.007434944	94	0.03763837	1	0.5285388	3.068197	1.303697	4	20	0.003401361	0.2	MSigDB Pathway	IFN1
GO Biological Process	GO:0015993	molecular hydrogen transport	262	9.339012e-08	0.0009749929	3.721347e-06	15.14573	0.5282015	8	0.0001636312	0.002478315	329	0.004245688	1	0.1347264	15.34099	0.1303697	2	2	0.00170068	1	GO Biological Process	IFN1
GO Biological Process	GO:0072282	metanephric nephron tubule morphogenesis	264	9.525875e-08	0.0009945013	3.767051e-06	4.337023	4.611458	20	0.001428581	0.006195787	1381	0.09145428	1	0.6913705	3.835247	0.5214789	2	8	0.00170068	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0034969	histone arginine methylation	266	9.715113e-08	0.001014258	3.812999e-06	5.4227	2.95056	16	0.000914052	0.004956629	1381	0.09145428	1	0.6913705	3.835247	0.5214789	2	8	0.00170068	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0043491	protein kinase B signaling cascade	267	9.762496e-08	0.001019205	3.817246e-06	3.28726	8.517731	28	0.002638702	0.008674102	2944	0.2925162	1	1	1.586999	1.890361	3	29	0.00255102	0.1034483	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_DEATH_PATHWAY	Induction of apoptosis through DR3 and DR4/5 Death Receptors	43	1.009622e-07	0.0001332701	3.099305e-06	3.691876	6.500761	24	0.002013866	0.007434944	252	0.1525761	1	0.7992081	1.917623	2.085915	4	32	0.003401361	0.125	MSigDB Pathway	IFN1
GO Biological Process	GO:0006690	icosanoid metabolic process	268	1.048103e-07	0.00109422	4.082909e-06	2.474458	17.78167	44	0.005508572	0.01363073	765	0.03463641	1	0.4726851	1.917623	5.214789	10	80	0.008503401	0.125	GO Biological Process	IFN1
GO Biological Process	GO:0019369	arachidonic acid metabolic process	269	1.125944e-07	0.001175486	4.369835e-06	2.977805	10.74617	32	0.003329049	0.009913259	978	0.05521451	1	0.5894064	2.026168	3.454797	7	53	0.005952381	0.1320755	GO Biological Process	IFN1
GO Biological Process	GO:0006576	cellular biogenic amine metabolic process	271	1.17377e-07	0.001225416	4.52183e-06	2.066399	30.97175	64	0.009594717	0.01982652	3523	0.3910559	1	1	1.141065	7.887368	9	121	0.007653061	0.07438017	GO Biological Process	IFN1
GO Biological Process	GO:0042832	defense response to protozoan	272	1.196036e-07	0.001248662	4.590668e-06	4.274414	4.679004	20	0.001449506	0.006195787	583	0.01737974	1	0.3112255	3.835247	1.042958	4	16	0.003401361	0.25	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_BCELLSURVIVAL_PATHWAY	B Cell Survival Pathway	44	1.348792e-07	0.0001780405	4.046376e-06	3.632366	6.607264	24	0.00204686	0.007434944	60	0.01737974	1	0.3823543	3.835247	1.042958	4	16	0.003401361	0.25	MSigDB Pathway	IFN1
MSigDB Pathway	BIOCARTA_TH1TH2_PATHWAY	Th1/Th2 Differentiation	45	1.432735e-07	0.000189121	4.202689e-06	4.225205	4.733498	20	0.001466387	0.006195787	87	0.03169834	1	0.4809403	3.229681	1.238512	4	19	0.003401361	0.2105263	MSigDB Pathway	IFN1
MSigDB Pathway	BIOCARTA_TPO_PATHWAY	TPO Signaling Pathway	46	1.628484e-07	0.0002149599	4.673041e-06	3.203518	8.74039	28	0.00270768	0.008674102	31	0.00368455	1	0.1568905	3.835247	1.564437	6	24	0.005102041	0.25	MSigDB Pathway	IFN1
GO Biological Process	GO:0071459	protein localization to chromosome, centromeric region	277	1.692294e-07	0.001766755	6.378177e-06	13.9939	0.5716777	8	0.0001770997	0.002478315	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_CCR5_PATHWAY	Pertussis toxin-insensitive CCR5 Signaling in Macrophage	47	1.748191e-07	0.0002307612	4.909813e-06	3.19201	8.771901	28	0.002717442	0.008674102	12	0.0005019652	0.6625941	0.05521617	5.414466	1.108143	6	17	0.005102041	0.3529412	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	Genes involved in Keratan sulfate biosynthesis	48	1.855943e-07	0.0002449845	5.103843e-06	3.567516	6.72737	24	0.002084068	0.007434944	168	0.0855921	1	0.6725094	2.360152	1.694806	4	26	0.003401361	0.1538462	MSigDB Pathway	IFN1
MSigDB Pathway	ST_G_ALPHA_S_PATHWAY	G alpha s Pathway	49	2.013713e-07	0.0002658101	5.424696e-06	4.133551	4.838455	20	0.001498902	0.006195787	822	0.6600537	1	1	0.9588116	1.042958	1	16	0.0008503401	0.0625	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	Genes involved in RNA Polymerase III Transcription Initiation From Type 3 Promoter	50	2.035711e-07	0.0002687139	5.374277e-06	4.130649	4.841854	20	0.001499955	0.006195787	76	0.02437784	1	0.4234046	2.95019	1.694806	5	26	0.004251701	0.1923077	MSigDB Pathway	IFN1
GO Biological Process	GO:0030193	regulation of blood coagulation	280	2.06243e-07	0.002153177	7.689918e-06	2.309844	20.78062	48	0.006437615	0.01486989	291	0.002982784	1	0.1070112	2.596167	4.237016	11	65	0.009353741	0.1692308	GO Biological Process	IFN1
GO Biological Process	GO:2001179	regulation of interleukin-10 secretion	281	2.108116e-07	0.002200873	7.832289e-06	13.58931	0.588698	8	0.0001823724	0.002478315	937	0.05341368	1	0.5951321	5.113662	0.3911091	2	6	0.00170068	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0044252	negative regulation of multicellular organismal metabolic process	282	2.116962e-07	0.002210108	7.837264e-06	5.11161	3.130129	16	0.0009696807	0.004956629	781	0.03719545	1	0.4972093	6.136395	0.3259243	2	5	0.00170068	0.4	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_IL2RB_PATHWAY	IL-2 Receptor Beta Chain in T cell Activation	51	2.145962e-07	0.000283267	5.554255e-06	2.890343	11.07135	32	0.003429786	0.009913259	186	0.09868667	1	0.700357	2.018551	2.477025	5	38	0.004251701	0.1315789	MSigDB Pathway	IFN1
GO Biological Process	GO:0051591	response to cAMP	284	2.192002e-07	0.00228845	8.057923e-06	2.146344	26.09087	56	0.008082674	0.0173482	749	0.03210722	1	0.4475292	1.941897	5.149604	10	79	0.008503401	0.1265823	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_BIOPEPTIDES_PATHWAY	Bioactive Peptide Induced Signaling Pathway	52	2.272599e-07	0.0002999831	5.768905e-06	2.882634	11.10096	32	0.003438958	0.009913259	38	0.005150171	1	0.1789007	2.922093	2.737764	8	42	0.006802721	0.1904762	MSigDB Pathway	IFN1
GO Biological Process	GO:0046219	indolalkylamine biosynthetic process	285	2.381314e-07	0.002486092	8.723129e-06	7.095572	1.691196	12	0.0005239144	0.003717472	2787	0.2861419	1	1	3.068197	0.3259243	1	5	0.0008503401	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0002833	positive regulation of response to biotic stimulus	286	2.407705e-07	0.002513644	8.788965e-06	3.515192	6.827508	24	0.002115089	0.007434944	533	0.01372986	1	0.2689301	4.09093	0.9777729	4	15	0.003401361	0.2666667	GO Biological Process	IFN1
GO Biological Process	GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation	287	2.422116e-07	0.002528689	8.810763e-06	5.059279	3.162506	16	0.0009797106	0.004956629	232	0.001735826	1	0.07811217	6.818216	0.5866637	4	9	0.003401361	0.4444444	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_INFLAM_PATHWAY	Cytokines and Inflammatory Response	53	2.425942e-07	0.0003202243	6.041969e-06	3.139168	8.919562	28	0.002763185	0.008674102	45	0.009844469	1	0.2887711	3.173997	1.890361	6	29	0.005102041	0.2068966	MSigDB Pathway	IFN1
GO Biological Process	GO:0071229	cellular response to acid	288	2.448932e-07	0.002556685	8.877379e-06	2.397088	18.3556	44	0.00568637	0.01363073	2367	0.2131283	1	0.9400336	1.565407	3.194058	5	49	0.004251701	0.1020408	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	Genes involved in TGF-beta receptor signaling activates SMADs	54	2.458312e-07	0.0003244972	6.009207e-06	3.13704	8.92561	28	0.002765059	0.008674102	62	0.01753604	1	0.3733479	3.196039	1.564437	5	24	0.004251701	0.2083333	MSigDB Pathway	IFN1
GO Biological Process	GO:0045655	regulation of monocyte differentiation	289	2.477802e-07	0.002586825	8.950953e-06	5.050488	3.168011	16	0.000981416	0.004956629	276	0.002744381	1	0.1038092	6.136395	0.6518486	4	10	0.003401361	0.4	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	Genes involved in CD28 dependent PI3K/Akt signaling	55	2.510001e-07	0.0003313201	6.024002e-06	3.506873	6.843704	24	0.002120107	0.007434944	108	0.04417216	1	0.539882	2.922093	1.368882	4	21	0.003401361	0.1904762	MSigDB Pathway	IFN1
GO Biological Process	GO:0051917	regulation of fibrinolysis	290	2.675629e-07	0.002793357	9.632264e-06	5.020865	3.186702	16	0.0009872063	0.004956629	993	0.05860131	1	0.6161104	3.287354	0.912588	3	14	0.00255102	0.2142857	GO Biological Process	IFN1
GO Biological Process	GO:0033574	response to testosterone stimulus	291	2.711567e-07	0.002830876	9.728096e-06	5.015733	3.189962	16	0.0009882163	0.004956629	3466	0.3781086	1	1	1.534099	1.303697	2	20	0.00170068	0.1	GO Biological Process	IFN1
GO Biological Process	GO:0002891	positive regulation of immunoglobulin mediated immune response	292	2.731563e-07	0.002851752	9.766273e-06	5.012909	3.191759	16	0.0009887731	0.004956629	897	0.04831679	1	0.5623493	3.540228	0.8474031	3	13	0.00255102	0.2307692	GO Biological Process	IFN1
GO Biological Process	GO:0051954	positive regulation of amine transport	293	2.738906e-07	0.002859418	9.759105e-06	3.489465	6.877845	24	0.002130683	0.007434944	213	0.001327677	1	0.06507487	4.602296	1.303697	6	20	0.005102041	0.3	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_PTEN_PATHWAY	PTEN dependent cell cycle arrest and apoptosis	56	2.791758e-07	0.0003685121	6.580572e-06	3.48566	6.885352	24	0.002133009	0.007434944	199	0.1085512	1	0.7200381	2.556831	1.173327	3	18	0.00255102	0.1666667	MSigDB Pathway	IFN1
GO Biological Process	GO:0001910	regulation of leukocyte mediated cytotoxicity	294	2.820162e-07	0.002944249	1.001445e-05	2.658264	13.54267	36	0.004195376	0.01115242	460	0.01029793	1	0.2337182	2.611232	3.063688	8	47	0.006802721	0.1702128	GO Biological Process	IFN1
GO Biological Process	GO:0044070	regulation of anion transport	295	2.865956e-07	0.002992058	1.014257e-05	2.382849	18.46529	44	0.005720351	0.01363073	114	0.0001781719	1	0.0163168	3.347124	3.585167	12	55	0.01020408	0.2181818	GO Biological Process	IFN1
GO Biological Process	GO:2000401	regulation of lymphocyte migration	296	3.09002e-07	0.003225981	1.089858e-05	3.465497	6.925413	24	0.002145419	0.007434944	310	0.00368455	1	0.1240861	3.835247	1.564437	6	24	0.005102041	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0014049	positive regulation of glutamate secretion	297	3.113913e-07	0.003250925	1.094588e-05	6.915594	1.735209	12	0.0005375492	0.003717472	265	0.002500622	1	0.09851507	9.204592	0.3259243	3	5	0.00255102	0.6	GO Biological Process	IFN1
GO Biological Process	GO:0007538	primary sex determination	298	3.125367e-07	0.003262883	1.094927e-05	4.96136	3.224922	16	0.0009990465	0.004956629	2071	0.1830938	1	0.9229837	5.113662	0.1955546	1	3	0.0008503401	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0002931	response to ischemia	300	3.158752e-07	0.003297737	1.099246e-05	6.906111	1.737591	12	0.0005382873	0.003717472	424	0.007926188	1	0.1951637	6.574708	0.456294	3	7	0.00255102	0.4285714	GO Biological Process	IFN1
MSigDB Pathway	ST_GRANULE_CELL_SURVIVAL_PATHWAY	Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.	58	3.168332e-07	0.0004182198	7.210687e-06	3.096482	9.042519	28	0.002801276	0.008674102	401	0.2563203	1	0.8437476	1.704554	1.759991	3	27	0.00255102	0.1111111	MSigDB Pathway	IFN1
GO Biological Process	GO:0034143	regulation of toll-like receptor 4 signaling pathway	302	3.293841e-07	0.00343877	1.138666e-05	4.941376	3.237965	16	0.001003087	0.004956629	429	0.007982547	1	0.1942606	4.720304	0.8474031	4	13	0.003401361	0.3076923	GO Biological Process	IFN1
GO Biological Process	GO:0021636	trigeminal nerve morphogenesis	304	3.399312e-07	0.003548882	1.167395e-05	4.929409	3.245826	16	0.001005522	0.004956629	329	0.004245688	1	0.1347264	15.34099	0.1303697	2	2	0.00170068	1	GO Biological Process	IFN1
GO Biological Process	GO:0002585	positive regulation of antigen processing and presentation of peptide antigen	306	3.89595e-07	0.004067372	1.329206e-05	71.49953	0.05594442	4	1.733099e-05	0.001239157	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0046425	regulation of JAK-STAT cascade	307	3.904299e-07	0.004076088	1.327716e-05	2.106385	26.58584	56	0.008236009	0.0173482	458	0.009959942	1	0.2270345	2.220406	4.954049	11	76	0.009353741	0.1447368	GO Biological Process	IFN1
GO Biological Process	GO:0035279	mRNA cleavage involved in gene silencing by miRNA	310	4.049837e-07	0.00422803	1.363881e-05	12.45031	0.6425542	8	0.0001990564	0.002478315	329	0.004245688	1	0.1347264	15.34099	0.1303697	2	2	0.00170068	1	GO Biological Process	IFN1
GO Biological Process	GO:0014050	negative regulation of glutamate secretion	312	4.195268e-07	0.00437986	1.403801e-05	4.8501	3.298901	16	0.001021964	0.004956629	129	0.0002422652	1	0.01960658	10.22732	0.3911091	4	6	0.003401361	0.6666667	GO Biological Process	IFN1
GO Biological Process	GO:0002636	positive regulation of germinal center formation	313	4.340221e-07	0.004531191	1.447665e-05	12.33484	0.6485694	8	0.0002009199	0.002478315	504	0.01218443	1	0.2523918	10.22732	0.1955546	2	3	0.00170068	0.6666667	GO Biological Process	IFN1
GO Biological Process	GO:0006379	mRNA cleavage	314	4.545227e-07	0.004745217	1.511216e-05	6.668426	1.799525	12	0.0005574737	0.003717472	897	0.04831679	1	0.5623493	3.540228	0.8474031	3	13	0.00255102	0.2307692	GO Biological Process	IFN1
GO Biological Process	GO:0010669	epithelial structure maintenance	315	4.783627e-07	0.004994107	1.585431e-05	3.379528	7.101584	24	0.002199995	0.007434944	822	0.03900889	1	0.4954414	3.835247	0.7822183	3	12	0.00255102	0.25	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	Genes involved in Response to elevated platelet cytosolic Ca2+	59	4.78945e-07	0.0006322074	1.071538e-05	2.16064	24.06694	52	0.007455682	0.01610905	91	0.03463641	1	0.5024183	1.917623	5.214789	10	80	0.008503401	0.125	MSigDB Pathway	IFN1
GO Biological Process	GO:0035360	positive regulation of peroxisome proliferator activated receptor signaling pathway	317	4.86319e-07	0.00507717	1.601631e-05	6.625032	1.811312	12	0.0005611252	0.003717472	504	0.01218443	1	0.2523918	10.22732	0.1955546	2	3	0.00170068	0.6666667	GO Biological Process	IFN1
GO Biological Process	GO:2000002	negative regulation of DNA damage checkpoint	318	5.039185e-07	0.005260909	1.654374e-05	12.08921	0.6617472	8	0.0002050022	0.002478315	2445	0.2363526	1	1	3.835247	0.2607394	1	4	0.0008503401	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0032892	positive regulation of organic acid transport	319	5.632816e-07	0.00588066	1.843467e-05	3.347727	7.169043	24	0.002220893	0.007434944	288	0.002922342	1	0.1059349	4.001996	1.499252	6	23	0.005102041	0.2608696	GO Biological Process	IFN1
GO Biological Process	GO:0090200	positive regulation of release of cytochrome c from mitochondria	320	5.809855e-07	0.006065489	1.895465e-05	3.857236	5.185061	20	0.001606277	0.006195787	2250	0.1864422	1	0.8650918	2.000998	1.499252	3	23	0.00255102	0.1304348	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	Genes involved in Keratan sulfate/keratin metabolism	60	5.835055e-07	0.0007702273	1.283712e-05	3.340887	7.183722	24	0.00222544	0.007434944	217	0.1284086	1	0.781103	2.045465	1.955546	4	30	0.003401361	0.1333333	MSigDB Pathway	IFN1
GO Biological Process	GO:0045628	regulation of T-helper 2 cell differentiation	322	5.893328e-07	0.006152634	1.910756e-05	4.724052	3.386923	16	0.001049233	0.004956629	232	0.001735826	1	0.07811217	6.818216	0.5866637	4	9	0.003401361	0.4444444	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_CD28_CO_STIMULATION	Genes involved in CD28 co-stimulation	61	6.316594e-07	0.0008337904	1.36687e-05	2.98769	9.371788	28	0.00290328	0.008674102	113	0.04824994	1	0.5636276	2.474353	2.020731	5	31	0.004251701	0.1612903	MSigDB Pathway	IFN1
GO Biological Process	GO:0045622	regulation of T-helper cell differentiation	323	6.353228e-07	0.00663277	2.053489e-05	3.324424	7.219296	24	0.002236461	0.007434944	260	0.002284407	1	0.09172773	4.183905	1.434067	6	22	0.005102041	0.2727273	GO Biological Process	IFN1
GO Biological Process	GO:0014908	myotube differentiation involved in skeletal muscle regeneration	324	6.476124e-07	0.006761073	2.086751e-05	11.68664	0.6845424	8	0.0002120639	0.002478315	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0007184	SMAD protein import into nucleus	325	6.491139e-07	0.006776749	2.085154e-05	4.688679	3.412475	16	0.001057149	0.004956629	191	0.001016717	1	0.05557343	7.670493	0.5214789	4	8	0.003401361	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0032890	regulation of organic acid transport	326	6.562801e-07	0.006851564	2.101707e-05	2.421308	16.52	40	0.005117719	0.01239157	118	0.0001865637	1	0.01650614	3.835247	2.607394	10	40	0.008503401	0.25	GO Biological Process	IFN1
MSigDB Pathway	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	Vasopressin-regulated water reabsorption	62	6.609226e-07	0.0008724178	1.407126e-05	2.741	11.67457	32	0.003616658	0.009913259	471	0.3220997	1	0.9026998	1.394635	2.868134	4	44	0.003401361	0.09090909	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	Genes involved in Signaling by TGF-beta Receptor Complex	63	6.916829e-07	0.0009130214	1.44924e-05	2.303586	19.10065	44	0.005917178	0.01363073	98	0.04004215	1	0.5393432	2.045465	3.911091	8	60	0.006802721	0.1333333	MSigDB Pathway	IFN1
GO Biological Process	GO:2000138	positive regulation of cell proliferation involved in heart morphogenesis	328	6.994108e-07	0.007301849	2.226173e-05	4.661493	3.432377	16	0.001063314	0.004956629	2787	0.2861419	1	1	3.068197	0.3259243	1	5	0.0008503401	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0042997	negative regulation of Golgi to plasma membrane protein transport	329	7.040919e-07	0.007350719	2.234261e-05	4.659069	3.434163	16	0.001063867	0.004956629	781	0.03719545	1	0.4972093	6.136395	0.3259243	2	5	0.00170068	0.4	GO Biological Process	IFN1
MSigDB Pathway	KEGG_APOPTOSIS	Apoptosis	64	7.274648e-07	0.0009602535	1.500396e-05	2.206871	21.75026	48	0.006737998	0.01486989	207	0.1129614	1	0.7203336	1.586999	5.671083	9	87	0.007653061	0.1034483	MSigDB Pathway	IFN1
GO Biological Process	GO:0032606	type I interferon production	330	7.311202e-07	0.007632895	2.312998e-05	11.49647	0.6958656	8	0.0002155717	0.002478315	1381	0.09145428	1	0.6913705	3.835247	0.5214789	2	8	0.00170068	0.25	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	Genes involved in Downstream signal transduction	65	7.449014e-07	0.0009832698	1.512723e-05	2.004884	29.92691	60	0.009271038	0.01858736	58	0.01615736	1	0.3677192	2.000998	5.997007	12	92	0.01020408	0.1304348	MSigDB Pathway	IFN1
MSigDB Pathway	PID_KITPATHWAY	Signaling events mediated by Stem cell factor receptor (c-Kit)	66	7.692793e-07	0.001015449	1.538559e-05	2.202334	21.79506	48	0.006751877	0.01486989	40	0.005970233	1	0.1970177	2.655171	3.389613	9	52	0.007653061	0.1730769	MSigDB Pathway	IFN1
GO Biological Process	GO:0002906	negative regulation of mature B cell apoptotic process	331	7.779114e-07	0.008121395	2.453594e-05	11.40031	0.7017353	8	0.0002173901	0.002478315	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0035019	somatic stem cell maintenance	332	7.787282e-07	0.008129922	2.448772e-05	2.124398	24.47753	52	0.007582877	0.01610905	442	0.009016884	1	0.212978	2.902349	2.41184	7	37	0.005952381	0.1891892	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	Genes involved in RNA Polymerase III Transcription Initiation From Type 2 Promoter	67	7.912629e-07	0.001044467	1.558906e-05	4.616806	3.465599	16	0.001073606	0.004956629	135	0.05901468	1	0.5770324	2.667998	1.499252	4	23	0.003401361	0.173913	MSigDB Pathway	IFN1
GO Biological Process	GO:0034694	response to prostaglandin stimulus	333	8.133984e-07	0.008491879	2.550114e-05	3.77223	5.301904	20	0.001642473	0.006195787	1580	0.1229611	1	0.8124771	2.422261	1.238512	3	19	0.00255102	0.1578947	GO Biological Process	IFN1
GO Biological Process	GO:0001562	response to protozoan	336	9.113037e-07	0.009514011	2.831551e-05	3.743807	5.342155	20	0.001654943	0.006195787	740	0.03169834	1	0.4472036	3.229681	1.238512	4	19	0.003401361	0.2105263	GO Biological Process	IFN1
GO Biological Process	GO:0019695	choline metabolic process	337	9.202916e-07	0.009607844	2.850992e-05	4.562539	3.506819	16	0.001086375	0.004956629	3352	0.3762007	1	1	2.191569	0.456294	1	7	0.0008503401	0.1428571	GO Biological Process	IFN1
GO Biological Process	GO:0007033	vacuole organization	338	9.307191e-07	0.009716707	2.874766e-05	2.386499	16.76096	40	0.005192366	0.01239157	558	0.01509447	1	0.2824127	2.301148	3.911091	9	60	0.007653061	0.15	GO Biological Process	IFN1
GO Biological Process	GO:0060516	primary prostatic bud elongation	339	9.530407e-07	0.009949745	2.935028e-05	4.550046	3.516448	16	0.001089358	0.004956629	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_TNFR2_PATHWAY	TNFR2 Signaling Pathway	68	9.696761e-07	0.001279972	1.882312e-05	3.728343	5.364314	20	0.001661807	0.006195787	177	0.09485074	1	0.7073615	2.707233	1.108143	3	17	0.00255102	0.1764706	MSigDB Pathway	IFN1
GO Biological Process	GO:0031341	regulation of cell killing	340	9.850291e-07	0.0102837	3.024619e-05	2.516044	14.30818	36	0.004432521	0.01115242	553	0.01481207	1	0.2796347	2.454558	3.259243	8	50	0.006802721	0.16	GO Biological Process	IFN1
GO Biological Process	GO:1900117	regulation of execution phase of apoptosis	341	1.020313e-06	0.01065207	3.123774e-05	4.525751	3.535325	16	0.001095206	0.004956629	1241	0.06981917	1	0.5873587	3.068197	0.9777729	3	15	0.00255102	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0050820	positive regulation of coagulation	343	1.10531e-06	0.01153944	3.364267e-05	3.695873	5.411442	20	0.001676407	0.006195787	863	0.04417216	1	0.5343654	2.922093	1.368882	4	21	0.003401361	0.1904762	GO Biological Process	IFN1
GO Biological Process	GO:0090281	negative regulation of calcium ion import	344	1.118846e-06	0.01168075	3.395568e-05	6.109453	1.964169	12	0.0006084787	0.003717472	781	0.03719545	1	0.4972093	6.136395	0.3259243	2	5	0.00170068	0.4	GO Biological Process	IFN1
GO Biological Process	GO:0007288	sperm axoneme assembly	345	1.177307e-06	0.01229109	3.562633e-05	10.77663	0.7423471	8	0.0002299712	0.002478315	2445	0.2363526	1	1	3.835247	0.2607394	1	4	0.0008503401	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0001970	positive regulation of activation of membrane attack complex	346	1.182747e-06	0.01234788	3.568751e-05	10.76987	0.7428131	8	0.0002301156	0.002478315	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0045218	zonula adherens maintenance	347	1.200117e-06	0.01252922	3.610727e-05	10.74852	0.7442887	8	0.0002305727	0.002478315	2071	0.1830938	1	0.9229837	5.113662	0.1955546	1	3	0.0008503401	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0071504	cellular response to heparin	348	1.21268e-06	0.01266038	3.63804e-05	3.672994	5.445149	20	0.001686849	0.006195787	781	0.03719545	1	0.4972093	6.136395	0.3259243	2	5	0.00170068	0.4	GO Biological Process	IFN1
GO Biological Process	GO:0002606	positive regulation of dendritic cell antigen processing and presentation	349	1.265565e-06	0.0132125	3.785816e-05	10.67107	0.7496902	8	0.000232246	0.002478315	1261	0.07160867	1	0.5928585	4.383139	0.456294	2	7	0.00170068	0.2857143	GO Biological Process	IFN1
MSigDB Pathway	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Phosphatidylinositol signaling system	69	1.267725e-06	0.001673397	2.425213e-05	2.02525	27.65091	56	0.008565957	0.0173482	33	0.003985351	1	0.159414	2.390803	5.019234	12	77	0.01020408	0.1558442	MSigDB Pathway	IFN1
GO Biological Process	GO:0032330	regulation of chondrocyte differentiation	350	1.363669e-06	0.0142367	4.06763e-05	2.020238	27.7195	56	0.008587206	0.0173482	239	0.001867028	1	0.08155553	3.409108	2.346655	8	36	0.006802721	0.2222222	GO Biological Process	IFN1
GO Biological Process	GO:0001914	regulation of T cell mediated cytotoxicity	353	1.428796e-06	0.01491663	4.225674e-05	3.170055	7.570846	24	0.002345367	0.007434944	890	0.04824994	1	0.5659881	2.474353	2.020731	5	31	0.004251701	0.1612903	GO Biological Process	IFN1
GO Biological Process	GO:0030279	negative regulation of ossification	354	1.50773e-06	0.0157407	4.446526e-05	2.63394	12.1491	32	0.003763662	0.009913259	853	0.04267088	1	0.5222556	2.556831	1.955546	5	30	0.004251701	0.1666667	GO Biological Process	IFN1
GO Biological Process	GO:0033209	tumor necrosis factor-mediated signaling pathway	355	1.533232e-06	0.01600694	4.508998e-05	3.156824	7.602577	24	0.002355197	0.007434944	484	0.01164238	1	0.251129	3.068197	1.955546	6	30	0.005102041	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0071503	response to heparin	356	1.534437e-06	0.01601952	4.499866e-05	3.615342	5.53198	20	0.001713749	0.006195787	937	0.05341368	1	0.5951321	5.113662	0.3911091	2	6	0.00170068	0.3333333	GO Biological Process	IFN1
MSigDB Pathway	KEGG_PRIMARY_IMMUNODEFICIENCY	Primary immunodeficiency	70	1.567092e-06	0.002068561	2.955088e-05	3.152734	7.61244	24	0.002358253	0.007434944	303	0.1916707	1	0.8350011	1.753256	2.28147	4	35	0.003401361	0.1142857	MSigDB Pathway	IFN1
