motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	motif.name	p.adjust
MA0477.2	433	2340	34.0408805031447	23.4	1.45473848304037	1.49710737672078e-20	FOSL1	6.80571957698927e-18
MA0489.1	474	2631	37.2641509433962	26.31	1.41634933270225	2.20252326673923e-20	JUN(var.2)	6.80571957698927e-18
MA0478.1	458	2521	36.0062893081761	25.21	1.42825423673844	2.7368845483871e-20	FOSL2	6.80571957698927e-18
MA1141.1	455	2509	35.7704402515723	25.09	1.42568514354613	5.9320860160292e-20	FOS::JUND	1.10633404198945e-17
MA0099.3	426	2312	33.4905660377358	23.12	1.44855389436574	9.15413278480931e-20	FOS::JUN	1.36579661149355e-17
MA0491.2	369	1937	29.0094339622642	19.37	1.49764759743233	3.37843540001429e-19	JUND	4.2005213473511e-17
MA1130.1	418	2284	32.8616352201258	22.84	1.43877562259745	9.85592972482746e-19	FOSL2::JUN	1.05036051067447e-16
MA1144.1	384	2068	30.188679245283	20.68	1.45980073719937	4.70833893981757e-18	FOSL2::JUND	4.2930066433581e-16
MA1622.1	481	2748	37.814465408805	27.48	1.37607224922871	5.17923053488243e-18	Smad2::Smad3	4.2930066433581e-16
MA0462.2	469	2669	36.8710691823899	26.69	1.38145632005957	8.66929837382747e-18	BATF::JUN	6.46729658687529e-16
MA1128.1	432	2417	33.9622641509434	24.17	1.4051412557279	1.84977588421941e-17	FOSL1::JUN	1.2544843723888e-15
MA0490.2	368	1976	28.9308176100629	19.76	1.46411020293841	2.11616469933059e-17	JUNB	1.31554905475052e-15
MA1134.1	381	2074	29.9528301886792	20.74	1.4442058914503	4.62884010434618e-17	FOS::JUNB	2.65624209064789e-15
MA1634.1	462	2644	36.3207547169811	26.44	1.3737047926241	5.8943060281412e-17	BATF	3.14082306928095e-15
MA1135.1	371	2032	29.1666666666667	20.32	1.43536745406824	4.30928853820016e-16	FOSB::JUNB	2.14315283299821e-14
MA0835.2	451	2598	35.4559748427673	25.98	1.36474114098411	6.70846694919685e-16	BATF3	3.12782271506303e-14
MA1138.1	362	1984	28.4591194968553	19.84	1.43443142625279	1.34136137373774e-15	FOSL2::JUNB	5.8862093224021e-14
MA0476.1	440	2540	34.5911949685535	25.4	1.36185806962809	2.98930431462566e-15	FOS	1.23890056595041e-13
MA1101.2	331	1790	26.0220125786164	17.9	1.45374371947577	5.7298812748288e-15	BACH2	2.24973233211699e-13
MA0841.1	346	1915	27.2012578616352	19.15	1.42043121992873	3.57464424687328e-14	NFE2	1.33334230408373e-12
MA1142.1	385	2188	30.2672955974843	21.88	1.38333160866016	4.29135976987996e-14	FOSL1::JUND	1.52445447063355e-12
MA0107.1	432	2532	33.9622641509434	25.32	1.34132164893141	9.63512074807998e-14	RELA	3.26718185366712e-12
MA1137.1	382	2179	30.0314465408805	21.79	1.3782215025645	1.03726438066454e-13	FOSL1::JUNB	3.36434446945977e-12
MA1132.1	343	1923	26.9654088050314	19.23	1.40225734815556	3.25071669121288e-13	JUN::JUNB	1.010431104852e-11
MA0101.1	390	2302	30.6603773584906	23.02	1.33190170975198	1.01311593156659e-11	REL	3.02313793979472e-10
MA1633.1	456	2797	35.8490566037736	27.97	1.28169669659541	3.24019705838537e-11	BACH1	9.29687309829032e-10
MA0655.1	309	1752	24.2924528301887	17.52	1.38655552683725	3.48498913530593e-11	JDP2	9.6288959071786e-10
MA0089.2	351	2203	27.5943396226415	22.03	1.25258010089158	3.20515363509979e-07	NFE2L1	8.5394450420873e-06
MA1643.1	504	3484	39.622641509434	34.84	1.13727444056929	8.10101581648921e-05	NFIB	0.0020839164824486
MA0783.1	258	1674	20.2830188679245	16.74	1.21164987263587	0.000222842231760847	PKNOX2	0.00554134349645305
MA0501.1	329	2204	25.8647798742138	22.04	1.17353810681551	0.000296411720105623	MAF::NFE2	0.00713300461931597
