Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0043901	negative regulation of multi-organism process	213	0.0006471822	1	0.03172104	2.597015	6.160918	16	0.004828306	0.01253918	1869	0.1292053	1	0.7217246	1.493856	6.694086	10	74	0.006127451	0.1351351
GO Biological Process	GO:0002285	lymphocyte activation involved in immune response	214	0.0006481976	1	0.03162235	2.43371	7.396116	18	0.005796329	0.01410658	1216	0.06885288	1	0.5911382	1.745453	5.156255	9	57	0.005514706	0.1578947
GO Biological Process	GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway	215	0.0006539077	1	0.03175254	7.434474	0.6725425	5	0.0005270709	0.003918495	4093	0.4851268	1	1	1.579219	0.6332243	1	7	0.0006127451	0.1428571
GO Biological Process	GO:0031669	cellular response to nutrient levels	216	0.0006553386	1	0.0316747	2.080275	12.01764	25	0.009418217	0.01959248	1784	0.1233225	1	0.7216855	1.422861	9.136522	13	101	0.007965686	0.1287129
GO Biological Process	GO:0002819	regulation of adaptive immune response	217	0.0006554214	1	0.03153272	2.046214	12.70639	26	0.009957988	0.02037618	752	0.02344134	1	0.3254356	1.67792	10.13159	17	112	0.01041667	0.1517857
GO Biological Process	GO:0032735	positive regulation of interleukin-12 production	221	0.0006824886	1	0.03224064	2.93383	4.431067	13	0.003472623	0.01018809	362	0.004267232	1	0.123066	3.224239	2.171055	7	24	0.004289216	0.2916667
GO Biological Process	GO:0050873	brown fat cell differentiation	224	0.0007068266	1	0.03294317	3.08436	3.890596	12	0.003049057	0.009404389	587	0.01556852	1	0.2768916	2.579391	2.713819	7	30	0.004289216	0.2333333
GO Biological Process	GO:0030853	negative regulation of granulocyte differentiation	225	0.0007126959	1	0.03306909	5.782606	1.037595	6	0.0008131619	0.004702194	655	0.01957948	1	0.312076	4.737658	0.6332243	3	7	0.001838235	0.4285714
GO Biological Process	GO:0002931	response to ischemia	226	0.0007180723	1	0.03317113	7.279561	0.6868546	5	0.0005382873	0.003918495	1793	0.1265393	1	0.7367932	3.158438	0.6332243	2	7	0.00122549	0.2857143
GO Biological Process	GO:0050764	regulation of phagocytosis	227	0.0007266669	1	0.03342028	2.779367	5.037118	14	0.003947585	0.01097179	1303	0.08075791	1	0.6470549	1.842422	3.799346	7	42	0.004289216	0.1666667
GO Biological Process	GO:0043491	protein kinase B signaling cascade	228	0.0007339813	1	0.03360862	3.267019	3.366984	11	0.002638702	0.00862069	1764	0.1161299	1	0.6872994	1.905954	2.623358	5	29	0.003063725	0.1724138
GO Biological Process	GO:0032713	negative regulation of interleukin-4 production	230	0.0007694212	1	0.03492503	5.696847	1.053214	6	0.0008254029	0.004702194	3497	0.3775799	1	1	2.210907	0.4523031	1	5	0.0006127451	0.2
GO Biological Process	GO:0072007	mesangial cell differentiation	233	0.0007946264	1	0.03560472	5.66107	1.05987	6	0.0008306194	0.004702194	536	0.0119884	1	0.2335054	5.527267	0.5427637	3	6	0.001838235	0.5
GO Biological Process	GO:0072661	protein targeting to plasma membrane	234	0.0007964456	1	0.03553373	3.784802	2.377932	9	0.001863583	0.007053292	1129	0.06120256	1	0.5659475	2.601067	1.53783	4	17	0.00245098	0.2352941
GO Biological Process	GO:0008542	visual learning	237	0.000850543	1	0.03746696	2.529247	6.325993	16	0.004957675	0.01253918	2034	0.1619017	1	0.8309999	1.617737	3.708885	6	41	0.003676471	0.1463415
GO Biological Process	GO:0046637	regulation of alpha-beta T cell differentiation	239	0.0008805875	1	0.03846583	2.439281	6.969267	17	0.005461808	0.01332288	1303	0.08075791	1	0.6470549	1.842422	3.799346	7	42	0.004289216	0.1666667
GO Biological Process	GO:0048524	positive regulation of viral process	240	0.0009382698	1	0.04081474	2.597449	5.774897	15	0.004525781	0.01175549	3310	0.3254147	1	1	1.228282	6.513164	8	72	0.004901961	0.1111111
GO Biological Process	GO:0010906	regulation of glucose metabolic process	241	0.0009569828	1	0.04145602	2.02369	12.35367	25	0.009681562	0.01959248	693	0.02178687	1	0.3282178	1.799575	7.779613	14	86	0.008578431	0.1627907
GO Biological Process	GO:0043508	negative regulation of JUN kinase activity	242	0.0009664208	1	0.04169187	4.073247	1.964035	8	0.001539212	0.006269592	5034	0.6795945	1	1	0.9212112	1.085527	1	12	0.0006127451	0.08333333
GO Biological Process	GO:0001997	positive regulation of the force of heart contraction by epinephrine-norepinephrine	243	0.001004833	1	0.0431706	6.746451	0.7411304	5	0.0005808232	0.003918495	702	0.02305766	1	0.3429088	7.36969	0.2713819	2	3	0.00122549	0.6666667
GO Biological Process	GO:2000171	negative regulation of dendrite development	247	0.001050592	1	0.04440559	4.556527	1.536258	7	0.001203964	0.005485893	961	0.04335949	1	0.4710438	5.527267	0.3618425	2	4	0.00122549	0.5
GO Biological Process	GO:2000269	regulation of fibroblast apoptotic process	248	0.001068398	1	0.04497611	3.626643	2.481634	9	0.001944854	0.007053292	918	0.04097267	1	0.4659637	3.684845	0.8141456	3	9	0.001838235	0.3333333
GO Biological Process	GO:0071731	response to nitric oxide	251	0.001103531	1	0.04589986	6.603979	0.7571193	5	0.0005933537	0.003918495	4551	0.5741003	1	1	1.228282	0.8141456	1	9	0.0006127451	0.1111111
GO Biological Process	GO:0001766	membrane raft polarization	253	0.001140502	1	0.04706261	8.995068	0.4446881	4	0.0003485017	0.003134796	702	0.02305766	1	0.3429088	7.36969	0.2713819	2	3	0.00122549	0.6666667
GO Biological Process	GO:0090324	negative regulation of oxidative phosphorylation	255	0.001184004	1	0.04847452	14.83011	0.2022911	3	0.0001585354	0.002351097	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0050951	sensory perception of temperature stimulus	256	0.00119087	1	0.04856517	3.939991	2.030461	8	0.001591271	0.006269592	407	0.006010132	1	0.1541665	3.948048	1.266449	5	14	0.003063725	0.3571429
GO Biological Process	GO:0003057	regulation of the force of heart contraction by chemical signal	259	0.001222589	1	0.04928119	5.200378	1.153762	6	0.0009042025	0.004702194	655	0.01957948	1	0.312076	4.737658	0.6332243	3	7	0.001838235	0.4285714
