Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0001977	renal system process involved in regulation of blood volume	25	9.254356e-07	0.009661548	0.0003864619	9.19389	0.978911	9	0.0007671717	0.007053292	1849	0.1268862	1	0.716437	2.368829	1.266449	3	14	0.001838235	0.2142857
GO Biological Process	GO:0006382	adenosine to inosine editing	26	9.400855e-07	0.009814493	0.0003774805	14.10692	0.4962102	7	0.0003888795	0.005485893	702	0.02305766	1	0.3429088	7.36969	0.2713819	2	3	0.00122549	0.6666667
GO Biological Process	GO:0002313	mature B cell differentiation involved in immune response	28	9.931752e-07	0.01036875	0.0003703125	11.01231	0.7264598	8	0.0005693258	0.006269592	1987	0.1589701	1	0.8352531	2.763634	0.7236849	2	8	0.00122549	0.25
GO Biological Process	GO:0060266	negative regulation of respiratory burst involved in inflammatory response	31	1.419426e-06	0.01481881	0.000478026	10.48991	0.7626374	8	0.0005976782	0.006269592	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0032653	regulation of interleukin-10 production	33	1.529964e-06	0.01597282	0.000484025	4.135155	4.111091	17	0.003221858	0.01332288	587	0.01556852	1	0.2768916	2.579391	2.713819	7	30	0.004289216	0.2333333
GO Biological Process	GO:0097241	hematopoietic stem cell migration to bone marrow	36	1.719115e-06	0.01794756	0.0004985433	26.41019	0.1893208	5	0.0001483706	0.003918495	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:2000532	regulation of renal albumin absorption	38	2.222048e-06	0.02319818	0.0006104785	25.0462	0.1996311	5	0.0001564507	0.003918495	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:2000669	negative regulation of dendritic cell apoptotic process	41	2.57749e-06	0.026909	0.000656317	24.28883	0.205856	5	0.0001613291	0.003918495	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0060644	mammary gland epithelial cell differentiation	42	2.656132e-06	0.02773002	0.0006602385	4.183798	3.824276	16	0.002997082	0.01253918	278	0.001959975	1	0.07360482	4.14545	1.44737	6	16	0.003676471	0.375
GO Biological Process	GO:0060264	regulation of respiratory burst involved in inflammatory response	43	2.758454e-06	0.02879826	0.000669727	9.577435	0.8352967	8	0.0006546213	0.006269592	3116	0.3156604	1	1	2.763634	0.3618425	1	4	0.0006127451	0.25
GO Biological Process	GO:0032571	response to vitamin K	45	4.348151e-06	0.0453947	0.001008771	21.79179	0.2294442	5	0.0001798152	0.003918495	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0019064	fusion of virus membrane with host plasma membrane	46	4.60115e-06	0.04803601	0.001044261	21.53704	0.2321582	5	0.0001819421	0.003918495	3116	0.3156604	1	1	2.763634	0.3618425	1	4	0.0006127451	0.25
GO Biological Process	GO:1902107	positive regulation of leukocyte differentiation	47	4.658331e-06	0.04863298	0.001034744	2.301256	16.07817	37	0.01260045	0.02899687	764	0.02439938	1	0.3334156	1.700698	9.407904	16	104	0.009803922	0.1538462
GO Biological Process	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	49	5.491795e-06	0.05733434	0.001170089	4.453707	3.143449	14	0.002463518	0.01097179	755	0.0238794	1	0.3301999	2.909088	1.718752	5	19	0.003063725	0.2631579
GO Biological Process	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	51	5.840301e-06	0.06097274	0.001195544	3.925757	4.075647	16	0.003194081	0.01253918	947	0.04225911	1	0.4658766	2.287145	2.623358	6	29	0.003676471	0.2068966
GO Biological Process	GO:2000510	positive regulation of dendritic cell chemotaxis	52	6.373455e-06	0.06653887	0.001279594	20.12407	0.2484587	5	0.0001947169	0.003918495	3497	0.3775799	1	1	2.210907	0.4523031	1	5	0.0006127451	0.2
GO Biological Process	GO:0045619	regulation of lymphocyte differentiation	53	8.165192e-06	0.0852446	0.001608389	2.303389	15.195	35	0.01190831	0.02742947	578	0.01503146	1	0.2715025	1.730275	10.40297	18	115	0.01102941	0.1565217
GO Biological Process	GO:0016556	mRNA modification	54	8.855647e-06	0.09245295	0.001712092	9.984141	0.7011119	7	0.0005494607	0.005485893	1987	0.1589701	1	0.8352531	2.763634	0.7236849	2	8	0.00122549	0.25
GO Biological Process	GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	55	9.008116e-06	0.09404473	0.001709904	2.481233	12.09076	30	0.009475518	0.02351097	1736	0.1071952	1	0.6446532	1.381817	12.30264	17	136	0.01041667	0.125
GO Biological Process	GO:0000188	inactivation of MAPK activity	56	9.468879e-06	0.0988551	0.00176527	3.773159	4.240478	16	0.003323259	0.01253918	1287	0.0801548	1	0.6502068	2.125872	2.351976	5	26	0.003063725	0.1923077
GO Biological Process	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	58	1.068967e-05	0.1116002	0.001924141	9.694203	0.722081	7	0.0005658942	0.005485893	210	0.0008619582	1	0.04285164	7.36969	0.5427637	4	6	0.00245098	0.6666667
GO Biological Process	GO:0071346	cellular response to interferon-gamma	59	1.077439e-05	0.1124846	0.001906519	2.724963	9.174435	25	0.007189996	0.01959248	568	0.01476941	1	0.2714659	1.88736	7.417771	14	82	0.008578431	0.1707317
GO Biological Process	GO:0046813	virion attachment, binding of host cell surface receptor	61	1.268755e-05	0.132458	0.002171443	17.42437	0.2869544	5	0.0002248859	0.003918495	3116	0.3156604	1	1	2.763634	0.3618425	1	4	0.0006127451	0.25
GO Biological Process	GO:0033159	negative regulation of protein import into nucleus, translocation	62	1.289074e-05	0.1345793	0.002170634	17.36635	0.2879131	5	0.0002256373	0.003918495	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0017187	peptidyl-glutamic acid carboxylation	69	1.637376e-05	0.1709421	0.002477421	9.065269	0.7721779	7	0.0006051551	0.005485893	1228	0.0702802	1	0.5974962	3.014873	0.9950668	3	11	0.001838235	0.2727273
GO Biological Process	GO:0032733	positive regulation of interleukin-10 production	71	1.76592e-05	0.184362	0.002596649	4.620307	2.59723	12	0.002035447	0.009404389	1033	0.05028016	1	0.5081557	2.763634	1.44737	4	16	0.00245098	0.25
GO Biological Process	GO:0030100	regulation of endocytosis	72	1.771632e-05	0.1849584	0.002568866	2.11211	18.46495	39	0.01447096	0.03056426	189	0.000638835	1	0.03528803	2.025258	11.85034	24	131	0.01470588	0.1832061
GO Biological Process	GO:0002367	cytokine production involved in immune response	74	1.818744e-05	0.1898769	0.002565904	7.360861	1.086829	8	0.0008517471	0.006269592	808	0.02924703	1	0.3778948	4.14545	0.7236849	3	8	0.001838235	0.375
GO Biological Process	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	75	1.977338e-05	0.2064341	0.002752454	2.07867	19.24307	40	0.01508078	0.03134796	167	0.0003130296	1	0.01956904	2.122471	11.30758	24	125	0.01470588	0.192
GO Biological Process	GO:0045070	positive regulation of viral genome replication	76	2.042611e-05	0.2132486	0.002805902	5.505536	1.816354	10	0.001423475	0.007836991	1129	0.06120256	1	0.5659475	2.601067	1.53783	4	17	0.00245098	0.2352941
GO Biological Process	GO:0016553	base conversion or substitution editing	79	2.158641e-05	0.2253621	0.002852685	8.677417	0.8066917	7	0.0006322035	0.005485893	1793	0.1265393	1	0.7367932	3.158438	0.6332243	2	7	0.00122549	0.2857143
GO Biological Process	GO:0042832	defense response to protozoan	83	2.377178e-05	0.2481774	0.002990089	5.406664	1.849569	10	0.001449506	0.007836991	1033	0.05028016	1	0.5081557	2.763634	1.44737	4	16	0.00245098	0.25
GO Biological Process	GO:0002825	regulation of T-helper 1 type immune response	85	2.52147e-05	0.2632415	0.003096958	4.852258	2.266986	11	0.001776635	0.00862069	826	0.02953054	1	0.3732431	2.763634	1.809212	5	20	0.003063725	0.25
GO Biological Process	GO:0007296	vitellogenesis	88	3.107698e-05	0.3244437	0.00368686	10.39636	0.5771253	6	0.0004522926	0.004702194	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0051570	regulation of histone H3-K9 methylation	90	3.289698e-05	0.3434445	0.00381605	5.852851	1.537712	9	0.001205104	0.007053292	336	0.003466909	1	0.1077218	5.527267	0.7236849	4	8	0.00245098	0.5
