Estimate	Std. Error	df	t value	Pr(>|t|)	feature	p.adjust	group
0.000521628553428615	0.000177795609961069	82521.5656856775	2.93386632854902	0.00334860453729063	ERV24B.Prim-int	0.00844430709403723	IFN1
0.00146055795690507	0.000273952566011107	82531.8968876593	5.33142645156261	9.769959082549e-08	ERV3-16A3.I-int	3.54161016742401e-07	IFN1
0.00167782630605949	0.000161303769786411	82522.7934342392	10.4016558836856	2.52614536868552e-25	ERV3-16A3.LTR	2.09309187691086e-24	IFN1
0.000522856759005216	0.000219438024888242	82529.3529745746	2.38270809843235	0.0171880653434988	ERVL-B4-int	0.0383426073047281	IFN1
0.00147354304035863	0.000287908962544953	82531.3716298802	5.11808672899011	3.09341102772799e-07	ERVL-E-int	1.05539905651896e-06	IFN1
0.00160307637312238	0.000213767980175019	82520.860385561	7.49914169470046	6.48771302256254e-14	ERVL47-int	3.42079413916934e-13	IFN1
0.00189119639886927	0.000156597347634033	82525.1742234887	12.0768099041433	1.49490621391956e-33	HERV15-int	1.44507600678891e-32	IFN1
0.00229823158170931	0.000153318750395452	82523.8851975154	14.9898924676958	9.97282077268546e-51	HERV3-int	1.92807868271919e-49	IFN1
0.00167186275795065	0.000170075098828246	82523.8670262086	9.83014426843885	8.59429453525118e-23	HERV9N-int	5.53854536716187e-22	IFN1
0.00096664126440528	0.000157227697064746	82525.953670164	6.14803423602407	7.88071131876088e-10	HERVE-int	3.51600966529332e-09	IFN1
0.00255998078653787	0.000157103762655439	82526.3266049262	16.2948407044358	1.33102914865951e-59	HERVE.a-int	3.85998453111259e-58	IFN1
0.00150172312320702	0.000274395245610428	82546.9670520262	5.47284673196959	4.44147226037657e-08	HERVH-int	1.84003850787029e-07	IFN1
0.000489987734397452	0.000177313335888096	82521.9931493233	2.76340034968767	0.00572152294794447	HERVH48-int	0.0138270137908658	IFN1
0.000939849540257966	0.000174066044683474	82523.2758010687	5.39938471036677	6.70538788593581e-08	HERVIP10B3-int	2.59274998256185e-07	IFN1
0.00220908661931401	0.000159082059348483	82523.0521741624	13.8864597828396	8.57348609999603e-44	HERVIP10FH-int	1.24315548449942e-42	IFN1
